Apple strudel,"Our easy apple strudel recipe is a warming autumnal pudding, full of fruit and spices. Serve up golden brown slices filled with caramelised apple and walnut ",10 mins,Easy,false
Apple & blackberry crumble,"Raymond Blanc pre-cooks the crumble topping to avoid gluey, uncooked crumble and retain the texture of the fruit",10 mins,Easy,false
